"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Canada","LFS - Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","1976",3306.631,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2022",20170.667,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2022",18628.186,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2021",19677.954,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2021",18105.792,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2020",19748.346,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2020",18119.207,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2019",19919.291,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2019",18413.532,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2018",19688.611,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2018",18063.005,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2017",19472.473,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2017",17906.539,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2016",19221.14,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2016",17733.538,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2015",18614.94,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2015",17318.67,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2014",18437.057,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2014",17112.325,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2013",18193.716,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2013",16883.613,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2012",17991.593,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2012",16591.086,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2011",17694.912,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2011",16491.506,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2010",17501.021,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2010",16023.482,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2009",17785.972,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2009",16295.074,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2008",18207.767,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2008",16046.513,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2007",17658.995,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2007",15807.45,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2006",17340.734,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2006",15249.76,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2005",17035.679,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2005",14857.986,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2004",16632.271,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2004",14549.351,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2003",17027.749,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2003",14814.372,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2002",17426.154,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2002",14824.725,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2001",17685.211,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2001",14775.167,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Male","Age (Aggregate bands): Total","2000",17718.44,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Germany","LFS - EU Labour Force Survey","Employees by sex and age (thousands)","Sex: Female","Age (Aggregate bands): Total","2000",14655.892,,,,"Repository: ILO-STATISTICS - Micro data processing"
